[(11,
  [('рука', 0.013774156877605153),
   ('глаз', 0.010344827586206896),
   ('идти', 0.008544903372489579),
   ('собака', 0.007692307692307693),
   ('пойти', 0.007464948844259189),
   ('смотреть', 0.007142857142857143),
   ('стоять', 0.0068018188707843884),
   ('говорить', 0.006688139446760137),
   ('видеть', 0.006593406593406593),
   ('дверь', 0.0064039408866995075)]),
 (7,
  [('год', 0.03354856276012291),
   ('компания', 0.013788945505465012),
   ('цена', 0.013399976661869385),
   ('рынок', 0.009101870940137695),
   ('страна', 0.008576763001283598),
   ('рублеи', 0.008051655062429499),
   ('бизнес', 0.007857170640631685),
   ('товар', 0.005465012252518573),
   ('рост', 0.005445563810338792),
   ('производство', 0.005387218483799448)]),
 (1,
  [('являться', 0.010148448842928679),
   ('иметь', 0.007940976028919376),
   ('процесс', 0.00708169130937213),
   ('также', 0.006652048949598506),
   ('система', 0.006637233695813209),
   ('возможность', 0.005777948976265964),
   ('должный', 0.005570535423271801),
   ('результат', 0.005496459154345314),
   ('развитие', 0.005481643900560017),
   ('существовать', 0.005007555779430501)]),
 (2,
  [('продукт', 0.006487532142772889),
   ('магазин', 0.006204439831088254),
   ('кофе', 0.00526079879213947),
   ('еда', 0.005024888532402274),
   ('очень', 0.004906933402533676),
   ('стоять', 0.004788978272665078),
   ('вода', 0.004765387246691359),
   ('организм', 0.0044822949350067235),
   ('купить', 0.004340748779164406),
   ('вес', 0.004317157753190686)]),
 (17,
  [('ребёнок', 0.04198158014289844),
   ('год', 0.030624044934539296),
   ('мама', 0.01718085326064511),
   ('муж', 0.017056952876553916),
   ('школа', 0.014124643786395738),
   ('детеи', 0.013050840457605418),
   ('семья', 0.011109734440176764),
   ('жить', 0.011006484120100772),
   ('дом', 0.009994630983356049),
   ('жизнь', 0.009560979639036881)]),
 (9,
  [('день', 0.033991154217462564),
   ('сегодня', 0.02606587189331178),
   ('утро', 0.016366942816730654),
   ('вечер', 0.013380929929727666),
   ('вчера', 0.011899149098583328),
   ('час', 0.010664331739296378),
   ('сидеть', 0.009451965604723738),
   ('думать', 0.008598819065580028),
   ('ночь', 0.007857928650007858),
   ('завтра', 0.007723221301722009)]),
 (10,
  [('работа', 0.0353869286700035),
   ('деньга', 0.026035551710642854),
   ('работать', 0.017796453068034356),
   ('месяц', 0.013965272199221406),
   ('время', 0.009660343158458465),
   ('решить', 0.00893942202723022),
   ('дело', 0.008795237800984573),
   ('квартира', 0.008692249067951966),
   ('получить', 0.008012523429936766),
   ('прийтись', 0.007579970751199819)]),
 (16,
  [('бог', 0.01227105394718902),
   ('слово', 0.011384811162114258),
   ('человек', 0.008862427850747626),
   ('мир', 0.007953460891696587),
   ('время', 0.007748943325910103),
   ('русский', 0.006885424714811616),
   ('имя', 0.0065445621051674775),
   ('народ', 0.006385492887333546),
   ('говорить', 0.005953733581784302),
   ('язык', 0.005317456710448575)]),
 (3,
  [('цвет', 0.012019063117517145),
   ('очень', 0.008834127629896547),
   ('фотография', 0.008741136812739742),
   ('фото', 0.006555852609554807),
   ('вариант', 0.006090898523770778),
   ('сделать', 0.006021155410903174),
   ('одежда', 0.005602696733697547),
   ('стиль', 0.0054632105079623385),
   ('волос', 0.005067999535045914),
   ('свет', 0.004951761013599907)]),
 (15,
  [('страна', 0.012256644071910268),
   ('власть', 0.008893434807482274),
   ('государство', 0.006951788221833123),
   ('закон', 0.0068824437009170816),
   ('право', 0.006691746268397968),
   ('президент', 0.00618899849175667),
   ('народ', 0.005530225543054279),
   ('должный', 0.0052008390687030845),
   ('гражданин', 0.0048194442036648575),
   ('организация', 0.004091326734046426)])]

Coherence Score:  0.4544064874678443
